"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country","",""
"7","Mírame","[1TA5sGRlKUJXBN4ZyJuDIX, 3m5qlPf2OkihLz3dRYnkPA]","0.717","0.656","7","-4.449","1","0.0797","0.14100","0.000030","0.0661","0.695","175.956","audio_features","2btNsI4OvcVl7SAHQQDHFB","spotify:track:2btNsI4OvcVl7SAHQQDHFB","https://api.spotify.com/v1/tracks/2btNsI4OvcVl7SAHQQDHFB","https://api.spotify.com/v1/audio-analysis/2btNsI4OvcVl7SAHQQDHFB","157453","4","Costa Rica","",""
"8","Santa","[1fctva4kpRbg2k3v7kwRuS, 1mcTU81TzQhprhouKaTkpq, 3ZpEKRjHaHANcpk10u6Ntq]","0.725","0.709","3","-5.017","0","0.1290","0.32100","0.000189","0.1140","0.648","99.993","audio_features","6a9Z1jUms915w4O7N1PxjY","spotify:track:6a9Z1jUms915w4O7N1PxjY","https://api.spotify.com/v1/tracks/6a9Z1jUms915w4O7N1PxjY","https://api.spotify.com/v1/audio-analysis/6a9Z1jUms915w4O7N1PxjY","193039","4","Costa Rica","",""
"9","Orion","[2NfSBtmWe7oPw1EmetJVso, 0zO8yNnw5GQgutcIyXfGBY]","0.857","0.705","1","-4.775","1","0.1830","0.32200","0.002490","0.1970","0.874","105.011","audio_features","5pVJ3IlnpIorU44oXizzG5","spotify:track:5pVJ3IlnpIorU44oXizzG5","https://api.spotify.com/v1/tracks/5pVJ3IlnpIorU44oXizzG5","https://api.spotify.com/v1/audio-analysis/5pVJ3IlnpIorU44oXizzG5","240964","4","Costa Rica","",""
"10","EL AMOR DE SU VIDA","[6XkjpgcEsYab502Vr1bBeW, 1dKdetem2xEmjgvyymzytS]","0.616","0.834","9","-3.069","1","0.0664","0.06000","0.000000","0.3380","0.746","151.701","audio_features","0O3U5iwTbiXCREMkvotJuN","spotify:track:0O3U5iwTbiXCREMkvotJuN","https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN","https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN","165848","4","Costa Rica","",""
"11","Who","[1oSPZhvZMIrWW5I41kPkkY]","0.660","0.756","0","-3.743","0","0.0320","0.00289","0.000000","0.1930","0.838","116.034","audio_features","7tI8dRuH2Yc6RuoTjxo4dU","spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU","https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU","170888","4","Costa Rica","",""
"12","Tu Boda","[3l9G1G9MxH6DaRhwLklaf5, 0ys2OFYzWYB5hRDLCsBqxt]","0.694","0.651","6","-6.968","1","0.0784","0.49600","0.000014","0.0787","0.471","112.648","audio_features","1cOboCuWYI2osTOfolMRS6","spotify:track:1cOboCuWYI2osTOfolMRS6","https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6","https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6","225881","3","Costa Rica","",""
"13","Frente al Mar","[7a0XAaPaK2aDSqa8p3QnC7]","0.750","0.682","10","-3.825","1","0.0945","0.16800","0.000001","0.1120","0.618","100.036","audio_features","60u6hcpH5Qm1M3xESdNBrB","spotify:track:60u6hcpH5Qm1M3xESdNBrB","https://api.spotify.com/v1/tracks/60u6hcpH5Qm1M3xESdNBrB","https://api.spotify.com/v1/audio-analysis/60u6hcpH5Qm1M3xESdNBrB","165178","4","Costa Rica","",""
"14","Ohnana","[3UTF2no3muGdiFXVujl94i]","0.775","0.581","1","-3.621","0","0.1080","0.61700","0.000008","0.0957","0.658","104.977","audio_features","1fTjqf10accJCDYstPwwZ6","spotify:track:1fTjqf10accJCDYstPwwZ6","https://api.spotify.com/v1/tracks/1fTjqf10accJCDYstPwwZ6","https://api.spotify.com/v1/audio-analysis/1fTjqf10accJCDYstPwwZ6","156577","4","Costa Rica","",""
"15","Die With A Smile","[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]","0.521","0.592","6","-7.777","0","0.0304","0.30800","0.000000","0.1220","0.535","157.969","audio_features","2plbrEY59IikOBgBGLjaoe","spotify:track:2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe","251668","3","Costa Rica","",""
"16","Según Quién","[1r4hJ1h58CWwUQe3MxPuau, 66ihevNkSYNzRAl44dx6jJ]","0.909","0.762","9","-3.974","1","0.0643","0.43400","0.000000","0.0856","0.843","101.987","audio_features","4bw8mcDUSRWfQo63ZTYRnU","spotify:track:4bw8mcDUSRWfQo63ZTYRnU","https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU","https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU","142335","3","Costa Rica","",""
"17","Cupido","[11oaKJc8rsz6x8YPVjca4X, 0kwa5ELbi8xm7vbwywoLtg, 0c0Yh1P4gMYmDwebhyzIDv]","0.914","0.601","11","-5.255","1","0.1630","0.08880","0.000005","0.2640","0.648","96.041","audio_features","2FFr0vdtqPBTK3RW0c7T5C","spotify:track:2FFr0vdtqPBTK3RW0c7T5C","https://api.spotify.com/v1/tracks/2FFr0vdtqPBTK3RW0c7T5C","https://api.spotify.com/v1/audio-analysis/2FFr0vdtqPBTK3RW0c7T5C","215000","4","Costa Rica","",""
"18","Hasta Aquí Llegué","[1cUpGtXcSQsovNYEZOQgOG, 7a0XAaPaK2aDSqa8p3QnC7]","0.641","0.657","11","-8.338","0","0.2180","0.53800","0.000000","0.1060","0.411","100.016","audio_features","0Qe2g06yzLBuuSvVmFiweP","spotify:track:0Qe2g06yzLBuuSvVmFiweP","https://api.spotify.com/v1/tracks/0Qe2g06yzLBuuSvVmFiweP","https://api.spotify.com/v1/audio-analysis/0Qe2g06yzLBuuSvVmFiweP","188887","4","Costa Rica","",""
"19","PERRO NEGRO","[4q3ewBCX7sLwd24euuV69X, 2LRoIwlKmHjgvigdNGBHNo]","0.911","0.778","5","-2.248","1","0.2620","0.08870","0.000022","0.1790","0.345","96.057","audio_features","7iQXYTyuG13aoeHxGG28Nh","spotify:track:7iQXYTyuG13aoeHxGG28Nh","https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh","https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh","162768","4","Costa Rica","",""
"20","Nueva Era","[1bAftSH8umNcGZ0uyV7LMg, 7iK8PXO48WeuP03g8YR51W]","0.556","0.724","0","-3.165","1","0.1190","0.26700","0.000000","0.2170","0.681","101.097","audio_features","03IpZ9yqJlo3EIgDQUgBSF","spotify:track:03IpZ9yqJlo3EIgDQUgBSF","https://api.spotify.com/v1/tracks/03IpZ9yqJlo3EIgDQUgBSF","https://api.spotify.com/v1/audio-analysis/03IpZ9yqJlo3EIgDQUgBSF","246889","3","Costa Rica","",""
"21","Soltera","[0EmeFodog0BfCgMzAIvKQp]","0.841","0.752","2","-4.735","1","0.1050","0.16700","0.000460","0.9490","0.670","100.076","audio_features","3OJDtCdYs8QJnui708tEU3","spotify:track:3OJDtCdYs8QJnui708tEU3","https://api.spotify.com/v1/tracks/3OJDtCdYs8QJnui708tEU3","https://api.spotify.com/v1/audio-analysis/3OJDtCdYs8QJnui708tEU3","214643","4","Costa Rica","",""
"22","Soltera - W Sound 01","[5uwa6tAMMfNbBFIHiI6NV4, 1TA5sGRlKUJXBN4ZyJuDIX, 3m5qlPf2OkihLz3dRYnkPA]","0.734","0.578","1","-4.147","1","0.2950","0.15500","0.000242","0.1130","0.880","199.997","audio_features","13BDiikG6y5o5cQTK0HpW6","spotify:track:13BDiikG6y5o5cQTK0HpW6","https://api.spotify.com/v1/tracks/13BDiikG6y5o5cQTK0HpW6","https://api.spotify.com/v1/audio-analysis/13BDiikG6y5o5cQTK0HpW6","142022","4","Costa Rica","",""
"23","Feliz Cumpleaños Ferxxo","[2LRoIwlKmHjgvigdNGBHNo]","0.865","0.573","5","-5.501","1","0.0678","0.08630","0.000000","0.3050","0.563","94.999","audio_features","2CeKVsFFXG4QzA415QygGb","spotify:track:2CeKVsFFXG4QzA415QygGb","https://api.spotify.com/v1/tracks/2CeKVsFFXG4QzA415QygGb","https://api.spotify.com/v1/audio-analysis/2CeKVsFFXG4QzA415QygGb","155960","4","Costa Rica","",""
"24","AMARGURA","[790FomKkXshlbRYZFtlgla]","0.912","0.700","6","-3.331","0","0.0680","0.16300","0.000000","0.1740","0.535","106.981","audio_features","505v13epFXodT9fVAJ6h8k","spotify:track:505v13epFXodT9fVAJ6h8k","https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k","https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k","170480","4","Costa Rica","",""
"25","Primera Cita","[66ihevNkSYNzRAl44dx6jJ]","0.536","0.396","10","-7.804","1","0.0687","0.6040","0.000070","0.0969","0.491","157.846","audio_features","3fJHbMUnzceimOnNjp63fF","spotify:track:3fJHbMUnzceimOnNjp63fF","https://api.spotify.com/v1/tracks/3fJHbMUnzceimOnNjp63fF","https://api.spotify.com/v1/audio-analysis/3fJHbMUnzceimOnNjp63fF","186456","3","Costa Rica","",""
"26","Una Vida Pasada","[28gNT5KBp7IjEOQoevXf9N, 66ihevNkSYNzRAl44dx6jJ]","0.768","0.679","7","-5.539","0","0.0411","0.6560","0.000037","0.1430","0.948","89.975","audio_features","2mLTxNa0bwZX8eNBsuODLX","spotify:track:2mLTxNa0bwZX8eNBsuODLX","https://api.spotify.com/v1/tracks/2mLTxNa0bwZX8eNBsuODLX","https://api.spotify.com/v1/audio-analysis/2mLTxNa0bwZX8eNBsuODLX","218500","4","Costa Rica","",""
"27","SORRY 4 THAT MUCH","[2LRoIwlKmHjgvigdNGBHNo]","0.819","0.675","7","-4.281","1","0.0727","0.0318","0.000000","0.2890","0.602","92.990","audio_features","63pLfjK6FvcYJYMGwtHjd6","spotify:track:63pLfjK6FvcYJYMGwtHjd6","https://api.spotify.com/v1/tracks/63pLfjK6FvcYJYMGwtHjd6","https://api.spotify.com/v1/audio-analysis/63pLfjK6FvcYJYMGwtHjd6","207747","4","Costa Rica","",""
"28","MI EX TENÍA RAZÓN","[790FomKkXshlbRYZFtlgla]","0.634","0.725","5","-4.945","0","0.0587","0.0776","0.000000","0.2110","0.795","159.845","audio_features","54zcJnb3tp9c5OVKREZ1Is","spotify:track:54zcJnb3tp9c5OVKREZ1Is","https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is","https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is","154375","4","Costa Rica","",""
"29","APT.","[3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C]","0.777","0.783","0","-4.477","0","0.2600","0.0283","0.000000","0.3550","0.939","149.027","audio_features","5vNRhkKd0yEAg8suGBpjeY","spotify:track:5vNRhkKd0yEAg8suGBpjeY","https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY","https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY","169917","4","Costa Rica","",""
"30","QLONA","[790FomKkXshlbRYZFtlgla, 12GqGscKJx3aE4t07u7eVZ]","0.841","0.738","7","-7.455","0","0.3070","0.5200","0.000000","0.0892","0.484","169.918","audio_features","5RqSsdzTNPX1uzkmlHCFvK","spotify:track:5RqSsdzTNPX1uzkmlHCFvK","https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK","https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK","172798","4","Costa Rica","",""
"31","un x100to","[6XkjpgcEsYab502Vr1bBeW, 4q3ewBCX7sLwd24euuV69X]","0.571","0.720","9","-4.089","1","0.0458","0.2130","0.000000","0.2710","0.542","83.827","audio_features","2yzshFeBIwH8tWIqHEFLeD","spotify:track:2yzshFeBIwH8tWIqHEFLeD","https://api.spotify.com/v1/tracks/2yzshFeBIwH8tWIqHEFLeD","https://api.spotify.com/v1/audio-analysis/2yzshFeBIwH8tWIqHEFLeD","194563","4","Costa Rica","",""
"32","Piel","[5Y3MV9DZ0d87NnVm56qSY1, 06Q5VlSAku57lFzyME3HrM]","0.646","0.907","0","-1.617","1","0.0593","0.4220","0.000000","0.1400","0.816","168.004","audio_features","6kPCcIAGoTeRrh8qrmKa90","spotify:track:6kPCcIAGoTeRrh8qrmKa90","https://api.spotify.com/v1/tracks/6kPCcIAGoTeRrh8qrmKa90","https://api.spotify.com/v1/audio-analysis/6kPCcIAGoTeRrh8qrmKa90","141079","4","Costa Rica","",""
"33","LA FALDA","[7iK8PXO48WeuP03g8YR51W]","0.800","0.738","7","-4.260","1","0.0691","0.3720","0.008770","0.1900","0.267","103.008","audio_features","7iUtQNMRB8ZkKC4AmEuCJC","spotify:track:7iUtQNMRB8ZkKC4AmEuCJC","https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC","https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC","174230","4","Costa Rica","",""
"34","QUEMA","[7j6DKwmjbxvpQO8h914uEz, 12GqGscKJx3aE4t07u7eVZ, 18dspUI6gqabm5XCC2RcUD]","0.819","0.861","0","-3.322","1","0.0491","0.0286","0.000836","0.0676","0.905","97.014","audio_features","0zNMdrDEs5N0JPQ7RYQZln","spotify:track:0zNMdrDEs5N0JPQ7RYQZln","https://api.spotify.com/v1/tracks/0zNMdrDEs5N0JPQ7RYQZln","https://api.spotify.com/v1/audio-analysis/0zNMdrDEs5N0JPQ7RYQZln","150928","4","Costa Rica","",""
"35","QUE VUELVAS","[6XkjpgcEsYab502Vr1bBeW, 66ihevNkSYNzRAl44dx6jJ]","0.497","0.644","10","-4.309","1","0.0443","0.1880","0.000000","0.1140","0.779","162.542","audio_features","5HR7yfhSCeoOHRQN05XnZQ","spotify:track:5HR7yfhSCeoOHRQN05XnZQ","https://api.spotify.com/v1/tracks/5HR7yfhSCeoOHRQN05XnZQ","https://api.spotify.com/v1/audio-analysis/5HR7yfhSCeoOHRQN05XnZQ","169419","4","Costa Rica","",""
"36","La Bachata","[0tmwSHipWxN12fsoLcFU3B]","0.835","0.679","7","-5.329","0","0.0364","0.5830","0.000002","0.2180","0.850","124.980","audio_features","3tt9i3Hhzq84dPS8H7iSiJ","spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ","https://api.spotify.com/v1/audio-analysis/3tt9i3Hhzq84dPS8H7iSiJ","162638","4","Costa Rica","",""
"37","Normal","[2LRoIwlKmHjgvigdNGBHNo]","0.709","0.560","4","-4.867","0","0.1710","0.0340","0.000000","0.3150","0.541","170.082","audio_features","0T2pB7P1VdXPhLdQZ488uH","spotify:track:0T2pB7P1VdXPhLdQZ488uH","https://api.spotify.com/v1/tracks/0T2pB7P1VdXPhLdQZ488uH","https://api.spotify.com/v1/audio-analysis/0T2pB7P1VdXPhLdQZ488uH","171880","4","Costa Rica","",""
"38","WYA REMIX RED","[17SY5q1CMOZJBRuPcKWwPI, 54seKvtsZauR1iauN0ptpo, 6TKygPpVT29oGUogu4J9Ec, 4s6Xg38sbqh4xpf4OqhVUK, 2cPqdH7XMvwaBJEVjheH8g]","0.733","0.527","0","-5.985","0","0.0486","0.3640","0.000000","0.0999","0.371","110.045","audio_features","4YnmQG1fnJR9LnTZtix70T","spotify:track:4YnmQG1fnJR9LnTZtix70T","https://api.spotify.com/v1/tracks/4YnmQG1fnJR9LnTZtix70T","https://api.spotify.com/v1/audio-analysis/4YnmQG1fnJR9LnTZtix70T","321742","4","Costa Rica","",""
"39","CLASSY 101","[2LRoIwlKmHjgvigdNGBHNo, 3qsKSpcV3ncke3hw52JSMB]","0.858","0.665","11","-4.772","1","0.1520","0.1260","0.000000","0.1190","0.659","100.090","audio_features","1hZsWUnLbqRw09jLAMQSsb","spotify:track:1hZsWUnLbqRw09jLAMQSsb","https://api.spotify.com/v1/tracks/1hZsWUnLbqRw09jLAMQSsb","https://api.spotify.com/v1/audio-analysis/1hZsWUnLbqRw09jLAMQSsb","195587","4","Costa Rica","",""
"40","LALA","[7iK8PXO48WeuP03g8YR51W]","0.708","0.737","1","-4.045","1","0.0436","0.0739","0.001620","0.0955","0.607","91.986","audio_features","7ABLbnD53cQK00mhcaOUVG","spotify:track:7ABLbnD53cQK00mhcaOUVG","https://api.spotify.com/v1/tracks/7ABLbnD53cQK00mhcaOUVG","https://api.spotify.com/v1/audio-analysis/7ABLbnD53cQK00mhcaOUVG","197920","4","Costa Rica","",""
"41","BIRDS OF A FEATHER","[6qqNVTkY8uBg9cP3Jd7DAH]","0.747","0.507","2","-10.171","1","0.0358","0.2000","0.060800","0.1170","0.438","104.978","audio_features","6dOtVTDdiauQNBQEDOtlAB","spotify:track:6dOtVTDdiauQNBQEDOtlAB","https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB","https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB","210373","4","Costa Rica","",""
"42","Un Millón de Primaveras","[4PPoI9LuYeFX8V674Z1R6l]","0.730","0.341","3","-8.521","1","0.0578","0.6540","0.000181","0.0926","0.822","100.558","audio_features","6j5LtifAnuTjTYvml61yFZ","spotify:track:6j5LtifAnuTjTYvml61yFZ","https://api.spotify.com/v1/tracks/6j5LtifAnuTjTYvml61yFZ","https://api.spotify.com/v1/audio-analysis/6j5LtifAnuTjTYvml61yFZ","173080","3","Costa Rica","",""
"43","ÁNGEL","[6XkjpgcEsYab502Vr1bBeW, 5lwmRuXgjX8xIwlnauTZIP]","0.826","0.596","11","-5.262","1","0.0357","0.2920","0.000000","0.1660","0.869","127.922","audio_features","4JtKlgBLKHtRTqixKHrrw8","spotify:track:4JtKlgBLKHtRTqixKHrrw8","https://api.spotify.com/v1/tracks/4JtKlgBLKHtRTqixKHrrw8","https://api.spotify.com/v1/audio-analysis/4JtKlgBLKHtRTqixKHrrw8","184096","4","Costa Rica","",""
"44","LA CANCIÓN","[1vyhD5VmyZ7KMfW5gqLgo5, 4q3ewBCX7sLwd24euuV69X]","0.756","0.646","7","-5.795","1","0.3190","0.1520","0.000018","0.1080","0.429","176.088","audio_features","0fea68AdmYNygeTGI4RC18","spotify:track:0fea68AdmYNygeTGI4RC18","https://api.spotify.com/v1/tracks/0fea68AdmYNygeTGI4RC18","https://api.spotify.com/v1/audio-analysis/0fea68AdmYNygeTGI4RC18","242573","4","Costa Rica","",""
"45","DE LUNES A LUNES","[6XkjpgcEsYab502Vr1bBeW, 0tmwSHipWxN12fsoLcFU3B]","0.574","0.799","0","-3.726","1","0.0396","0.5780","0.000000","0.4980","0.761","132.525","audio_features","49Zc3sEJHADPoVDM4jNKgs","spotify:track:49Zc3sEJHADPoVDM4jNKgs","https://api.spotify.com/v1/tracks/49Zc3sEJHADPoVDM4jNKgs","https://api.spotify.com/v1/audio-analysis/49Zc3sEJHADPoVDM4jNKgs","188412","4","Costa Rica","",""
"46","Dile al Amor","[1qto4hHid1P71emI6Fd8xi]","0.824","0.612","11","-9.616","1","0.0372","0.0786","0.000000","0.3200","0.945","123.998","audio_features","6lFM8kkmpffm0aq2gzEtEK","spotify:track:6lFM8kkmpffm0aq2gzEtEK","https://api.spotify.com/v1/tracks/6lFM8kkmpffm0aq2gzEtEK","https://api.spotify.com/v1/audio-analysis/6lFM8kkmpffm0aq2gzEtEK","228773","4","Costa Rica","",""
"47","Es un Secreto","[2jSGzJw0ebJLu7OLVSOcBP]","0.841","0.774","6","-4.963","0","0.0421","0.1170","0.000003","0.0674","0.494","95.006","audio_features","3KZCP2StVGdWkOKyRZNWA4","spotify:track:3KZCP2StVGdWkOKyRZNWA4","https://api.spotify.com/v1/tracks/3KZCP2StVGdWkOKyRZNWA4","https://api.spotify.com/v1/audio-analysis/3KZCP2StVGdWkOKyRZNWA4","192120","4","Costa Rica","",""
"48","El Perdedor","[1qto4hHid1P71emI6Fd8xi]","0.779","0.589","5","-10.645","1","0.0345","0.3320","0.000000","0.1200","0.894","128.044","audio_features","27ze5t5tIDPlVits0KRbxT","spotify:track:27ze5t5tIDPlVits0KRbxT","https://api.spotify.com/v1/tracks/27ze5t5tIDPlVits0KRbxT","https://api.spotify.com/v1/audio-analysis/27ze5t5tIDPlVits0KRbxT","215213","4","Costa Rica","",""
"49","Borro Cassette","[1r4hJ1h58CWwUQe3MxPuau]","0.730","0.701","5","-5.885","0","0.1060","0.1320","0.000000","0.1510","0.785","175.950","audio_features","6DUdDIRgLqCGq1DwkNWQTN","spotify:track:6DUdDIRgLqCGq1DwkNWQTN","https://api.spotify.com/v1/tracks/6DUdDIRgLqCGq1DwkNWQTN","https://api.spotify.com/v1/audio-analysis/6DUdDIRgLqCGq1DwkNWQTN","207307","4","Costa Rica","",""
"0","Q U E V A S H A C E R H O Y ?","[3E12tRURRvPfHz0hAMCFYc, 54seKvtsZauR1iauN0ptpo]","0.560","0.681","6","-6.304","0","0.2440","0.1030","0.000000","0.1060","0.388","155.079","audio_features","0Sr7ssScx54yxdM2ols7nW","spotify:track:0Sr7ssScx54yxdM2ols7nW","https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW","https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW","223320","4","Dominican Republic","",""
"1","Bing Bong","[4ncaw2cfA3Wlly1tBD2eWt, 5O5qjKWtduHgXxeEYbbSxz]","0.920","0.797","10","-4.622","0","0.1090","0.0087","0.000407","0.2120","0.775","134.035","audio_features","6s9PpYbExKlHuJ8JMyep21","spotify:track:6s9PpYbExKlHuJ8JMyep21","https://api.spotify.com/v1/tracks/6s9PpYbExKlHuJ8JMyep21","https://api.spotify.com/v1/audio-analysis/6s9PpYbExKlHuJ8JMyep21","123591","4","Dominican Republic","",""
"2","Party Prendio","[11oaKJc8rsz6x8YPVjca4X]","0.712","0.737","9","-5.833","0","0.2900","0.2560","0.000000","0.1820","0.501","168.137","audio_features","7kysxhCfP7fFebn7iZU8Av","spotify:track:7kysxhCfP7fFebn7iZU8Av","https://api.spotify.com/v1/tracks/7kysxhCfP7fFebn7iZU8Av","https://api.spotify.com/v1/audio-analysis/7kysxhCfP7fFebn7iZU8Av","102592","4","Dominican Republic","",""
"3","Cupido","[11oaKJc8rsz6x8YPVjca4X, 0kwa5ELbi8xm7vbwywoLtg, 0c0Yh1P4gMYmDwebhyzIDv]","0.914","0.601","11","-5.255","1","0.1630","0.0888","0.000005","0.2640","0.648","96.041","audio_features","2FFr0vdtqPBTK3RW0c7T5C","spotify:track:2FFr0vdtqPBTK3RW0c7T5C","https://api.spotify.com/v1/tracks/2FFr0vdtqPBTK3RW0c7T5C","https://api.spotify.com/v1/audio-analysis/2FFr0vdtqPBTK3RW0c7T5C","215000","4","Dominican Republic","",""
"4","OMG - Remix","[4WzBqbc7fxl2y8XrznMSqf, 0TnOYISbd1XYRBk9myaseg, 3OcvS8PzSGYMBvLdzY6g3e, 6NVVcu2j3GlTJwVUnNh27B]","0.796","0.864","1","-4.884","0","0.0625","0.0346","0.000000","0.1450","0.590","98.947","audio_features","0aKJSsrPc0uwklhceSHIxt","spotify:track:0aKJSsrPc0uwklhceSHIxt","https://api.spotify.com/v1/tracks/0aKJSsrPc0uwklhceSHIxt","https://api.spotify.com/v1/audio-analysis/0aKJSsrPc0uwklhceSHIxt","131144","4","Dominican Republic","",""
"5","Vamono Lejos","[11oaKJc8rsz6x8YPVjca4X, 03A4rAqMAxVwjkRIPZxZ9Y]","0.425","0.679","7","-5.276","1","0.2050","0.2360","0.000000","0.1770","0.503","85.190","audio_features","4xdl8WUxPsgG0gZdIP4yS8","spotify:track:4xdl8WUxPsgG0gZdIP4yS8","https://api.spotify.com/v1/tracks/4xdl8WUxPsgG0gZdIP4yS8","https://api.spotify.com/v1/audio-analysis/4xdl8WUxPsgG0gZdIP4yS8","187694","4","Dominican Republic","",""
"6","Pegate","[11oaKJc8rsz6x8YPVjca4X]","0.909","0.683","5","-4.792","0","0.1280","0.0182","0.000018","0.1180","0.808","88.637","audio_features","3wmfO0mDUmLCxMuUoR5Ldu","spotify:track:3wmfO0mDUmLCxMuUoR5Ldu","https://api.spotify.com/v1/tracks/3wmfO0mDUmLCxMuUoR5Ldu","https://api.spotify.com/v1/audio-analysis/3wmfO0mDUmLCxMuUoR5Ldu","165168","4","Dominican Republic","",""
"7","Si Estoy Contigo - Bachata","[11oaKJc8rsz6x8YPVjca4X]","0.727","0.805","8","-5.301","1","0.0819","0.1520","0.000000","0.2000","0.873","144.914","audio_features","2MwztolEt0vNsp8tbnNbRs","spotify:track:2MwztolEt0vNsp8tbnNbRs","https://api.spotify.com/v1/tracks/2MwztolEt0vNsp8tbnNbRs","https://api.spotify.com/v1/audio-analysis/2MwztolEt0vNsp8tbnNbRs","216828","4","Dominican Republic","",""
"8","Culiacan","[11oaKJc8rsz6x8YPVjca4X, 0kwa5ELbi8xm7vbwywoLtg, 0c0Yh1P4gMYmDwebhyzIDv]","0.701","0.567","9","-8.747","0","0.0426","0.4770","0.000000","0.0919","0.970","144.988","audio_features","4B5G10aokuWdgVkgD5m6d7","spotify:track:4B5G10aokuWdgVkgD5m6d7","https://api.spotify.com/v1/tracks/4B5G10aokuWdgVkgD5m6d7","https://api.spotify.com/v1/audio-analysis/4B5G10aokuWdgVkgD5m6d7","171861","3","Dominican Republic","",""
"9","Kikito","[11oaKJc8rsz6x8YPVjca4X, 4VVEpEhC8NcR7AqNEds42U, 7w0t8O8nbirfLvGJgKK0xk]","0.905","0.866","2","-4.889","1","0.0767","0.0688","0.004730","0.2820","0.793","118.068","audio_features","5N7WygWmT8oIz5PqtLYFYz","spotify:track:5N7WygWmT8oIz5PqtLYFYz","https://api.spotify.com/v1/tracks/5N7WygWmT8oIz5PqtLYFYz","https://api.spotify.com/v1/audio-analysis/5N7WygWmT8oIz5PqtLYFYz","170085","4","Dominican Republic","",""
"10","Mi Camino","[11oaKJc8rsz6x8YPVjca4X, 0c0Yh1P4gMYmDwebhyzIDv]","0.619","0.392","4","-10.919","0","0.0971","0.3400","0.000000","0.0767","0.893","175.840","audio_features","6RJWcYvINrYamu3sfW7a9T","spotify:track:6RJWcYvINrYamu3sfW7a9T","https://api.spotify.com/v1/tracks/6RJWcYvINrYamu3sfW7a9T","https://api.spotify.com/v1/audio-analysis/6RJWcYvINrYamu3sfW7a9T","167659","3","Dominican Republic","",""
"11","Vibrador","[11oaKJc8rsz6x8YPVjca4X]","0.695","0.704","6","-4.788","0","0.2670","0.1180","0.002610","0.1360","0.577","179.873","audio_features","4h3i4yz7mkw1H9XG9VMkjQ","spotify:track:4h3i4yz7mkw1H9XG9VMkjQ","https://api.spotify.com/v1/tracks/4h3i4yz7mkw1H9XG9VMkjQ","https://api.spotify.com/v1/audio-analysis/4h3i4yz7mkw1H9XG9VMkjQ","186667","4","Dominican Republic","",""
"12","Dale 2","[4ncaw2cfA3Wlly1tBD2eWt, 3Z8i7zAQr7lPwH7pUQnlXJ]","0.845","0.791","7","-4.188","1","0.3120","0.0497","0.000012","0.5580","0.861","130.023","audio_features","7eYg1DaZOkTUJbMpzTAfhl","spotify:track:7eYg1DaZOkTUJbMpzTAfhl","https://api.spotify.com/v1/tracks/7eYg1DaZOkTUJbMpzTAfhl","https://api.spotify.com/v1/audio-analysis/7eYg1DaZOkTUJbMpzTAfhl","148851","4","Dominican Republic","",""
