"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"10","Russian Bandana","[2rN8LHqK4TBI7y3d9POvJb]","0.775","0.615","1","-5.682","0","0.3680","0.3040","0.000000","0.0595","0.918","84.070","audio_features","1dFrZr9eMUsFqeag04ClqD","spotify:track:1dFrZr9eMUsFqeag04ClqD","https://api.spotify.com/v1/tracks/1dFrZr9eMUsFqeag04ClqD","https://api.spotify.com/v1/audio-analysis/1dFrZr9eMUsFqeag04ClqD","197143","4","India"
"11","Manasilaayo","[4zCH9qm4R2DADamUHMCa6O, 0qS0rxCY4YfrUx9GCTlDIW, 4PY2xnTu90K0hvkgcljRJl, 3UVLcqHc3pOMsWiZv2MeIZ]","0.701","0.928","1","-3.029","1","0.2860","0.0180","0.002930","0.0740","0.451","150.889","audio_features","3CA9CjRf7IU2Ukz3GuYInP","spotify:track:3CA9CjRf7IU2Ukz3GuYInP","https://api.spotify.com/v1/tracks/3CA9CjRf7IU2Ukz3GuYInP","https://api.spotify.com/v1/audio-analysis/3CA9CjRf7IU2Ukz3GuYInP","235629","4","India"
"12","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","[4YRxDV8wJFPHPTeXepOstw, 09UmIX92EUH9hAK4bxvHx6]","0.427","0.396","11","-7.556","1","0.0366","0.7360","0.000000","0.1100","0.306","70.368","audio_features","2Fv2injs4qAm8mJBGaxVKU","spotify:track:2Fv2injs4qAm8mJBGaxVKU","https://api.spotify.com/v1/tracks/2Fv2injs4qAm8mJBGaxVKU","https://api.spotify.com/v1/audio-analysis/2Fv2injs4qAm8mJBGaxVKU","284780","4","India"
"13","Born to Shine","[2FKWNmZWDBZR4dE5KX4plR]","0.762","0.826","6","-4.339","0","0.0778","0.3560","0.000000","0.3240","0.667","89.985","audio_features","4XxfOvudrnBRdlgzEaq1sd","spotify:track:4XxfOvudrnBRdlgzEaq1sd","https://api.spotify.com/v1/tracks/4XxfOvudrnBRdlgzEaq1sd","https://api.spotify.com/v1/audio-analysis/4XxfOvudrnBRdlgzEaq1sd","213333","4","India"
"14","Apna Bana Le","[1mBydYMVBECdDmMfE2sEUO, 4YRxDV8wJFPHPTeXepOstw, 2fMqTqiTxUDlmcOEPaQSsx]","0.586","0.562","9","-7.399","1","0.0267","0.8030","0.000006","0.0630","0.436","93.982","audio_features","1hA697u7e1jX2XM8sWA6Uy","spotify:track:1hA697u7e1jX2XM8sWA6Uy","https://api.spotify.com/v1/tracks/1hA697u7e1jX2XM8sWA6Uy","https://api.spotify.com/v1/audio-analysis/1hA697u7e1jX2XM8sWA6Uy","261702","4","India"
"15","Softly","[6DARBhWbfcS9E4yJzcliqQ, 3nqS8jzqmsPKFJTp0BOIel]","0.735","0.564","8","-7.786","1","0.2040","0.1910","0.000000","0.0791","0.902","92.986","audio_features","0YQJoDL6f46J0n1rOVkpxJ","spotify:track:0YQJoDL6f46J0n1rOVkpxJ","https://api.spotify.com/v1/tracks/0YQJoDL6f46J0n1rOVkpxJ","https://api.spotify.com/v1/audio-analysis/0YQJoDL6f46J0n1rOVkpxJ","155161","4","India"
"16","Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull)","[0TnOYISbd1XYRBk9myaseg, 2FKWNmZWDBZR4dE5KX4plR, 4f7KfxeHq9BiylGmyXepGt, 1wRPtKGflJrBx9BmLsSwlU, 3tHD07u1ON4uHxmnT9rwqZ, 1gegc3MqXY9tE3SL0PyLKr, 5sifufajls8Q6k04Y4F8mH]","0.859","0.844","5","-4.609","0","0.0645","0.0917","0.000000","0.2390","0.605","109.969","audio_features","7r6iwgXcR85d9rfqsuf2Af","spotify:track:7r6iwgXcR85d9rfqsuf2Af","https://api.spotify.com/v1/tracks/7r6iwgXcR85d9rfqsuf2Af","https://api.spotify.com/v1/audio-analysis/7r6iwgXcR85d9rfqsuf2Af","230080","4","India"
"17","Tum Se Hi","[1wRPtKGflJrBx9BmLsSwlU, 5GnnSrwNCGyfAU4zuIytiS]","0.609","0.538","6","-7.842","1","0.0273","0.3280","0.000000","0.1250","0.608","130.015","audio_features","7eQl3Yqv35ioqUfveKHitE","spotify:track:7eQl3Yqv35ioqUfveKHitE","https://api.spotify.com/v1/tracks/7eQl3Yqv35ioqUfveKHitE","https://api.spotify.com/v1/audio-analysis/7eQl3Yqv35ioqUfveKHitE","321225","4","India"
"18","Khoobsurat (From ""Stree 2"")","[1mBydYMVBECdDmMfE2sEUO, 5wJ1H6ud777odtZl5gG507, 2fMqTqiTxUDlmcOEPaQSsx]","0.596","0.584","2","-6.191","1","0.0357","0.7540","0.000003","0.0928","0.450","143.975","audio_features","1o8YPl0hyGbpRcHplXNvsm","spotify:track:1o8YPl0hyGbpRcHplXNvsm","https://api.spotify.com/v1/tracks/1o8YPl0hyGbpRcHplXNvsm","https://api.spotify.com/v1/audio-analysis/1o8YPl0hyGbpRcHplXNvsm","244583","4","India"
"19","Tere Bina Na Guzara E","[6SWmwFBXIsxhIx5XPkYo0a]","0.615","0.514","1","-9.401","1","0.0566","0.6710","0.000000","0.3850","0.538","74.968","audio_features","0NXnuTqFQHDsbEIoKIAVCN","spotify:track:0NXnuTqFQHDsbEIoKIAVCN","https://api.spotify.com/v1/tracks/0NXnuTqFQHDsbEIoKIAVCN","https://api.spotify.com/v1/audio-analysis/0NXnuTqFQHDsbEIoKIAVCN","220800","4","India"
"20","Naina (From ""Crew"")","[2FKWNmZWDBZR4dE5KX4plR, 0y59o4v8uw5crbN9M3JiL1, 183DgO92lAqgpVVNKI7ZKF]","0.840","0.715","0","-5.141","1","0.1870","0.1760","0.000000","0.0935","0.542","96.980","audio_features","1eZefeDb8uOsjvcbl1fJrG","spotify:track:1eZefeDb8uOsjvcbl1fJrG","https://api.spotify.com/v1/tracks/1eZefeDb8uOsjvcbl1fJrG","https://api.spotify.com/v1/audio-analysis/1eZefeDb8uOsjvcbl1fJrG","180000","4","India"
"21","Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")","[3ozYqVCLohfpXIhalkhM8D, 0T1CMVkqffHlqEk4BcAph1, 5TNSXFCNwlq2CfiMcNOCDP]","0.771","0.527","0","-7.601","1","0.0414","0.2690","0.000002","0.1080","0.558","99.981","audio_features","1PALLCSlHwAI4upY3sMg8u","spotify:track:1PALLCSlHwAI4upY3sMg8u","https://api.spotify.com/v1/tracks/1PALLCSlHwAI4upY3sMg8u","https://api.spotify.com/v1/audio-analysis/1PALLCSlHwAI4upY3sMg8u","212108","4","India"
"22","Satranga (From ""ANIMAL"")","[4YRxDV8wJFPHPTeXepOstw, 5o36rLQd78Zh8CaT8rn59d, 6k6TIai4KyKG1DeIMftSmJ]","0.273","0.405","0","-5.810","1","0.0298","0.7350","0.000000","0.1890","0.534","89.480","audio_features","3yHyiUDJdz02FZ6jfUbsmY","spotify:track:3yHyiUDJdz02FZ6jfUbsmY","https://api.spotify.com/v1/tracks/3yHyiUDJdz02FZ6jfUbsmY","https://api.spotify.com/v1/audio-analysis/3yHyiUDJdz02FZ6jfUbsmY","271169","3","India"
"23","Tauba Tauba","[6DARBhWbfcS9E4yJzcliqQ]","0.676","0.745","8","-6.190","1","0.0503","0.3290","0.000044","0.0998","0.842","95.102","audio_features","25Nxyrng0Z3jC5Q0hAibpw","spotify:track:25Nxyrng0Z3jC5Q0hAibpw","https://api.spotify.com/v1/tracks/25Nxyrng0Z3jC5Q0hAibpw","https://api.spotify.com/v1/audio-analysis/25Nxyrng0Z3jC5Q0hAibpw","207158","4","India"
"24","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","[3iGhlvzpXc0UHBQ7klAItX]","0.763","0.587","8","-8.299","0","0.0381","0.3580","0.000006","0.1300","0.794","106.977","audio_features","0M0ANKNzmM4Odd7FNKghzW","spotify:track:0M0ANKNzmM4Odd7FNKghzW","https://api.spotify.com/v1/tracks/0M0ANKNzmM4Odd7FNKghzW","https://api.spotify.com/v1/audio-analysis/0M0ANKNzmM4Odd7FNKghzW","171147","4","India"
"25","Pehle Bhi Main","[5wJ1H6ud777odtZl5gG507, 2DFCHTDIA0t638a4mm37dK]","0.413","0.406","10","-10.230","0","0.0353","0.7680","0.000002","0.1070","0.281","76.944","audio_features","7yDHHVKLbvDmVw1XXhDDIO","spotify:track:7yDHHVKLbvDmVw1XXhDDIO","https://api.spotify.com/v1/tracks/7yDHHVKLbvDmVw1XXhDDIO","https://api.spotify.com/v1/audio-analysis/7yDHHVKLbvDmVw1XXhDDIO","250158","4","India"
"26","Suniyan Suniyan","[5Z8nzSJRSo4HRcUOzemnC1, 05dG9pMLRWenxzvSmefE6U]","0.830","0.626","1","-6.637","1","0.0340","0.6880","0.000001","0.1120","0.794","130.004","audio_features","0XRb6eZE4dBIJdqwf1Mixu","spotify:track:0XRb6eZE4dBIJdqwf1Mixu","https://api.spotify.com/v1/tracks/0XRb6eZE4dBIJdqwf1Mixu","https://api.spotify.com/v1/audio-analysis/0XRb6eZE4dBIJdqwf1Mixu","197538","4","India"
"27","Mere Mehboob","[1mBydYMVBECdDmMfE2sEUO, 19LIHDDSHBD5NyYHI3gpzB, 6WOdPJmexxFINcKMkP2jMG, 6q29t5RuXxlBuqIZsOMQss]","0.686","0.644","0","-4.921","0","0.0326","0.4500","0.000000","0.0682","0.908","125.017","audio_features","5ZjWYv5kOH1ywFmv5JjPNd","spotify:track:5ZjWYv5kOH1ywFmv5JjPNd","https://api.spotify.com/v1/tracks/5ZjWYv5kOH1ywFmv5JjPNd","https://api.spotify.com/v1/audio-analysis/5ZjWYv5kOH1ywFmv5JjPNd","216054","4","India"
"28","Samjho Na","[3ozYqVCLohfpXIhalkhM8D]","0.744","0.328","0","-12.535","1","0.2310","0.6810","0.000200","0.1280","0.532","98.923","audio_features","1d5lpW3gUyq537iuyrb9Lf","spotify:track:1d5lpW3gUyq537iuyrb9Lf","https://api.spotify.com/v1/tracks/1d5lpW3gUyq537iuyrb9Lf","https://api.spotify.com/v1/audio-analysis/1d5lpW3gUyq537iuyrb9Lf","172408","4","India"
"29","Baarishein","[4gdMJYnopf2nEUcanAwstx]","0.476","0.124","2","-9.463","1","0.0443","0.9270","0.000000","0.0972","0.190","94.299","audio_features","3WLJ7D5kh44K5eJ1NqZQ6W","spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W","https://api.spotify.com/v1/tracks/3WLJ7D5kh44K5eJ1NqZQ6W","https://api.spotify.com/v1/audio-analysis/3WLJ7D5kh44K5eJ1NqZQ6W","207312","4","India"
"30","Tu hai kahan","[2cjQTf2J5yCaNY8qHpW855]","0.708","0.356","1","-9.738","1","0.0750","0.4370","0.000065","0.1120","0.569","83.679","audio_features","3zSSCPpLZ5Oc8nelhhGjKz","spotify:track:3zSSCPpLZ5Oc8nelhhGjKz","https://api.spotify.com/v1/tracks/3zSSCPpLZ5Oc8nelhhGjKz","https://api.spotify.com/v1/audio-analysis/3zSSCPpLZ5Oc8nelhhGjKz","263185","4","India"
"31","Tumhare Hi Rahenge Hum (From ""Stree 2"")","[1mBydYMVBECdDmMfE2sEUO, 4gzrZDyL5gYiROkv27pYKx, 19LIHDDSHBD5NyYHI3gpzB, 2fMqTqiTxUDlmcOEPaQSsx]","0.674","0.516","4","-8.494","1","0.0285","0.7350","0.000010","0.0968","0.602","115.005","audio_features","5Ggb9pKiKcr5vNV9v1e1vs","spotify:track:5Ggb9pKiKcr5vNV9v1e1vs","https://api.spotify.com/v1/tracks/5Ggb9pKiKcr5vNV9v1e1vs","https://api.spotify.com/v1/audio-analysis/5Ggb9pKiKcr5vNV9v1e1vs","230087","4","India"
"32","Tainu Khabar Nahi - From ""Munjya""","[1mBydYMVBECdDmMfE2sEUO, 4YRxDV8wJFPHPTeXepOstw]","0.588","0.595","9","-7.493","1","0.0488","0.7770","0.000000","0.1530","0.594","90.013","audio_features","5npFBWhVs3VVlc0nY5xQMA","spotify:track:5npFBWhVs3VVlc0nY5xQMA","https://api.spotify.com/v1/tracks/5npFBWhVs3VVlc0nY5xQMA","https://api.spotify.com/v1/audio-analysis/5npFBWhVs3VVlc0nY5xQMA","188167","4","India"
"33","One Love","[5r3wPya2PpeTTsXsGhQU8O]","0.848","0.512","7","-7.757","1","0.1180","0.2840","0.006450","0.1010","0.881","144.926","audio_features","5ZLkihi6DVsHwDL3B8ym1t","spotify:track:5ZLkihi6DVsHwDL3B8ym1t","https://api.spotify.com/v1/tracks/5ZLkihi6DVsHwDL3B8ym1t","https://api.spotify.com/v1/audio-analysis/5ZLkihi6DVsHwDL3B8ym1t","159222","4","India"
"34","Jeena Jeena","[1mBydYMVBECdDmMfE2sEUO, 2oSONSC9zQ4UonDKnLqksx]","0.682","0.344","5","-8.567","1","0.0281","0.7890","0.000000","0.1210","0.548","104.984","audio_features","2GXXZFUxYg2LvG8SR0byOE","spotify:track:2GXXZFUxYg2LvG8SR0byOE","https://api.spotify.com/v1/tracks/2GXXZFUxYg2LvG8SR0byOE","https://api.spotify.com/v1/audio-analysis/2GXXZFUxYg2LvG8SR0byOE","228969","4","India"
"35","Die With A Smile","[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]","0.521","0.592","6","-7.777","0","0.0304","0.3080","0.000000","0.1220","0.535","157.969","audio_features","2plbrEY59IikOBgBGLjaoe","spotify:track:2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe","251668","3","India"
"36","APT.","[3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C]","0.777","0.783","0","-4.477","0","0.2600","0.0283","0.000000","0.3550","0.939","149.027","audio_features","5vNRhkKd0yEAg8suGBpjeY","spotify:track:5vNRhkKd0yEAg8suGBpjeY","https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY","https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY","169917","4","India"
"37","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","[1mBydYMVBECdDmMfE2sEUO, 3qpyErDI4i90q5EGgSRmNK, 4gzrZDyL5gYiROkv27pYKx, 7xcbCUOXrxDyWxbYxPq60B]","0.612","0.595","10","-6.356","1","0.0331","0.6800","0.000001","0.1040","0.435","99.991","audio_features","2ceeTJAzKy295Fm0VsaXtE","spotify:track:2ceeTJAzKy295Fm0VsaXtE","https://api.spotify.com/v1/tracks/2ceeTJAzKy295Fm0VsaXtE","https://api.spotify.com/v1/audio-analysis/2ceeTJAzKy295Fm0VsaXtE","264090","4","India"
"38","Haan Ke Haan","[1bTROl5p3rGTpvKeWnGgrw, 2o4R2rK7FetH40HTv0SUWl, 3GBSge8pq7mpezUQl0GAOA]","0.617","0.479","8","-10.312","1","0.0349","0.5580","0.000000","0.2850","0.615","129.901","audio_features","1WxzZoWBTmB68AtyA6ejBB","spotify:track:1WxzZoWBTmB68AtyA6ejBB","https://api.spotify.com/v1/tracks/1WxzZoWBTmB68AtyA6ejBB","https://api.spotify.com/v1/audio-analysis/1WxzZoWBTmB68AtyA6ejBB","204042","3","India"
"39","Humdard (From ""Ek Villain"")","[4YRxDV8wJFPHPTeXepOstw]","0.575","0.541","5","-6.450","1","0.0237","0.7590","0.000000","0.1110","0.270","87.022","audio_features","2PvaburAUlhNHxVhw5lvOq","spotify:track:2PvaburAUlhNHxVhw5lvOq","https://api.spotify.com/v1/tracks/2PvaburAUlhNHxVhw5lvOq","https://api.spotify.com/v1/audio-analysis/2PvaburAUlhNHxVhw5lvOq","260590","4","India"
"40","Dil Tu Jaan Tu","[682M6cmwGHOyAB1ZmPv38W, 5aWkTGq5O45ES0fDFmN1Wv]","0.822","0.449","0","-6.804","1","0.0336","0.2800","0.000001","0.0981","0.382","90.023","audio_features","69Qzz3yyQSsA0T95jLDoPL","spotify:track:69Qzz3yyQSsA0T95jLDoPL","https://api.spotify.com/v1/tracks/69Qzz3yyQSsA0T95jLDoPL","https://api.spotify.com/v1/audio-analysis/69Qzz3yyQSsA0T95jLDoPL","237333","4","India"
"41","Zaroor","[2UWTNi6LLK5lXNGzFWzIqT, 6jvvFfe34NYXjWZMz7rExP]","0.809","0.228","5","-15.365","0","0.1760","0.8090","0.000000","0.1040","0.912","145.024","audio_features","5thVzD79BxlDTYy0LfHzvu","spotify:track:5thVzD79BxlDTYy0LfHzvu","https://api.spotify.com/v1/tracks/5thVzD79BxlDTYy0LfHzvu","https://api.spotify.com/v1/audio-analysis/5thVzD79BxlDTYy0LfHzvu","175448","4","India"
"42","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")","[4xNgNFUMUuGCoy7IX74Y60, 5gZhfbckaWo89OzDSk3gdT]","0.369","0.450","10","-6.867","1","0.0485","0.7290","0.000000","0.2010","0.477","83.237","audio_features","1r6GbBLdtUK1Vl1IHT14wP","spotify:track:1r6GbBLdtUK1Vl1IHT14wP","https://api.spotify.com/v1/tracks/1r6GbBLdtUK1Vl1IHT14wP","https://api.spotify.com/v1/audio-analysis/1r6GbBLdtUK1Vl1IHT14wP","281512","4","India"
"43","Chaleya","[4zCH9qm4R2DADamUHMCa6O, 4YRxDV8wJFPHPTeXepOstw, 19LIHDDSHBD5NyYHI3gpzB, 0m3D4grap8VFSzbJMqgNVk]","0.575","0.845","0","-5.280","1","0.0852","0.3930","0.010700","0.1310","0.439","95.047","audio_features","3xMHXmedL5Rvfxmiar9Ryv","spotify:track:3xMHXmedL5Rvfxmiar9Ryv","https://api.spotify.com/v1/tracks/3xMHXmedL5Rvfxmiar9Ryv","https://api.spotify.com/v1/audio-analysis/3xMHXmedL5Rvfxmiar9Ryv","200374","4","India"
"44","Saibo","[1mBydYMVBECdDmMfE2sEUO, 0oOet2f43PA68X5RxKobEy, 6k6dimE4a6OFnD0HWmkIUW]","0.620","0.426","2","-8.008","1","0.0279","0.7210","0.000011","0.1270","0.548","90.000","audio_features","5pPyvA03RKSJrAnnDcq0nh","spotify:track:5pPyvA03RKSJrAnnDcq0nh","https://api.spotify.com/v1/tracks/5pPyvA03RKSJrAnnDcq0nh","https://api.spotify.com/v1/audio-analysis/5pPyvA03RKSJrAnnDcq0nh","195515","4","India"
"45","Aasa Kooda - From ""Think Indie""","[5jJrJU7VVmxQQLcLAmmxXc, 139FRgoVcJ82jogPttiWcc]","0.675","0.537","5","-9.401","1","0.0352","0.4800","0.001120","0.1200","0.534","98.003","audio_features","0MTdYgTZ25sLCO6kVnDoje","spotify:track:0MTdYgTZ25sLCO6kVnDoje","https://api.spotify.com/v1/tracks/0MTdYgTZ25sLCO6kVnDoje","https://api.spotify.com/v1/audio-analysis/0MTdYgTZ25sLCO6kVnDoje","215510","4","India"
"46","Lemonade","[2FKWNmZWDBZR4dE5KX4plR]","0.789","0.744","1","-7.245","1","0.0414","0.2810","0.000000","0.0763","0.783","143.998","audio_features","3ZGJhN4unVspOqpwGvUL2W","spotify:track:3ZGJhN4unVspOqpwGvUL2W","https://api.spotify.com/v1/tracks/3ZGJhN4unVspOqpwGvUL2W","https://api.spotify.com/v1/audio-analysis/3ZGJhN4unVspOqpwGvUL2W","166667","4","India"
"47","Old Money","[6LEG9Ld1aLImEFEVHdWNSB]","0.866","0.734","4","-3.328","0","0.0696","0.1540","0.000307","0.1750","0.183","93.010","audio_features","5xlYVZxEwriP6hetG7QJw7","spotify:track:5xlYVZxEwriP6hetG7QJw7","https://api.spotify.com/v1/tracks/5xlYVZxEwriP6hetG7QJw7","https://api.spotify.com/v1/audio-analysis/5xlYVZxEwriP6hetG7QJw7","128098","4","India"
"48","Heeriye (feat. Arijit Singh)","[74OaRjmyh0XyRZsQQQ5l7c, 4YRxDV8wJFPHPTeXepOstw, 3NHwwyb1coYa5cLyI72xSk]","0.728","0.494","6","-9.628","0","0.0256","0.5160","0.003840","0.0759","0.558","105.007","audio_features","5PUXKVVVQ74C3gl5vKy9Li","spotify:track:5PUXKVVVQ74C3gl5vKy9Li","https://api.spotify.com/v1/tracks/5PUXKVVVQ74C3gl5vKy9Li","https://api.spotify.com/v1/audio-analysis/5PUXKVVVQ74C3gl5vKy9Li","194857","4","India"
"49","Soni Soni (From ""Ishq Vishk Rebound"")","[2GoeZ0qOTt6kjsWW4eA6LS, 00sCATpEvwH48ays7PlQFU, 3dN9MQpjIyNxyeRfz4EDZe, 3nLLr3ShsQC2Hdrwjl14ie]","0.803","0.694","8","-7.830","0","0.0527","0.5510","0.000626","0.1280","0.484","108.035","audio_features","36N5awamOX6XX5pQn3aFXZ","spotify:track:36N5awamOX6XX5pQn3aFXZ","https://api.spotify.com/v1/tracks/36N5awamOX6XX5pQn3aFXZ","https://api.spotify.com/v1/audio-analysis/36N5awamOX6XX5pQn3aFXZ","176875","4","India"
"0","Die With A Smile","[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]","0.521","0.592","6","-7.777","0","0.0304","0.3080","0.000000","0.1220","0.535","157.969","audio_features","2plbrEY59IikOBgBGLjaoe","spotify:track:2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe","251668","3","Indonesia"
"1","Satu Bulan","[47z98pKd71yIbgXwe9LPVC]","0.436","0.299","0","-10.420","1","0.0392","0.9420","0.049800","0.1180","0.244","85.744","audio_features","7zOVh5fGpEwSbZd0g9z80B","spotify:track:7zOVh5fGpEwSbZd0g9z80B","https://api.spotify.com/v1/tracks/7zOVh5fGpEwSbZd0g9z80B","https://api.spotify.com/v1/audio-analysis/7zOVh5fGpEwSbZd0g9z80B","200476","4","Indonesia"
